episode;steps;reward;average
0;310;311.1033315035285;311.1033315035285
1;1000;-567.5704335590738;-128.23355102777262
2;1000;-501.5904386758652;-252.68584691047013
3;1000;-249.47891505365115;-251.8841139462654
4;1000;-405.02858441136516;-282.51300803928535
5;1000;-505.66590372087427;-319.70515731955015
6;1000;-408.65322218102517;-332.4120237283323
7;1000;-515.2400577192199;-355.2655279771933
8;1000;-545.5622094935908;-376.4096037012375
9;1000;-404.8485092375256;-379.25349425486627
10;749;204.48627741999448;-326.1862422844244
11;924;36.006454770936074;-296.003517529811
12;1000;-357.1598081214305;-300.7078475753202
13;1000;-273.4246433820438;-298.75904727580047
14;1000;-544.0710289646457;-315.11317938839017
15;1000;-410.16416176656327;-321.053865787026
16;1000;-168.5943479898801;-312.0856588577821
17;928;-405.0139201983857;-317.2483400433712
18;1000;-213.59937069013293;-311.7931311300428
19;1000;-218.5090314679087;-307.1289261469361
20;1000;-428.5667146548987;-312.9116779806486
21;867;96.53584990859642;-294.30042671295564
22;1000;-222.306762117455;-291.17026738271653
23;1000;-432.0659287203199;-297.04091993845003
24;1000;-363.86493950817294;-299.7138807212389
25;1000;-393.02122441132724;-303.3026247093193
26;1000;-539.8195315008036;-312.0625101460409
27;1000;-216.55649918690497;-308.6515811832146
28;1000;-562.3191165799007;-317.39873757620376
29;1000;-509.22415689228575;-323.79291822007315
30;1000;-457.8802361812775;-328.11831557366037
31;975;97.47197063277557;-314.8186191297093
32;313;238.58815121259292;-298.0487169981244
33;608;261.6833504354465;-281.5860091324311
34;1000;-164.10958580384053;-278.2295398944714
35;1000;-222.251016385281;-276.674580908105
36;1000;-245.0352869722768;-275.8194648557853
37;1000;-174.89618314409364;-273.1635890212671
38;1000;-507.20689237553535;-279.16469936368424
39;1000;-164.11776779538985;-276.28852607447686
40;695;241.13478137628186;-263.66844540494617
41;469;282.3218483071039;-250.66867650704023
42;1000;-170.99645191553444;-248.81583407467963
43;510;364.54792724679703;-234.87574859010064
44;215;327.55661692623994;-222.37725157862639
45;1000;-296.4660906778068;-223.9878785155651
46;1000;-524.779436435832;-230.38769889684738
47;1000;-419.096424975289;-234.3191306901482
48;1000;-489.1679181480016;-239.52012635255338
49;805;-315.456832640785;-241.03886047831799
50;1000;-189.8457999491656;-240.03507497774638
51;1000;-413.65433423810015;-243.37390688659934
52;1000;-194.9232823534841;-242.45974415955942
53;1000;-334.7137615455912;-244.16815188893037
54;820;-358.8767414639368;-246.25376260847594
55;348;-185.96769740731895;-245.1772257298839
56;1000;-207.13822494858707;-244.50987483898393
57;1000;-341.9412362708005;-246.1897258981532
58;465;279.75741101406857;-237.2753676454037
59;1000;-276.16198555621855;-237.92347794391725
60;1000;-316.8242982942298;-239.21693401523387
61;1000;-494.07393963304156;-243.32753088003722
62;1000;-566.797382273851;-248.4619729656533
63;1000;-300.66396162120344;-249.27762903839627
64;1000;-236.37421272473682;-249.07911494126304
65;1000;-551.0422334267604;-253.65431370619484
66;1000;-399.4858886870389;-255.83090437755072
67;480;237.55574218024037;-248.57521839875966
68;1000;-106.86458008922165;-246.5214410319548
69;1000;-234.2053720518987;-246.34549718938257
70;1000;-275.98968524121136;-246.76302096476047
71;1000;-417.2885606701945;-249.13143123844696
72;1000;-486.42972436495603;-252.3820927881252
73;1000;-420.6587947409958;-254.6561022739748
74;1000;-421.7026699242083;-256.8833898426446
75;348;304.9893219745507;-249.49032784504993
76;1000;-105.99853059065981;-247.62679801057732
77;1000;-177.54258708996346;-246.72828248595405
78;1000;-232.80941320417853;-246.5520942671974
79;1000;-254.42886191327014;-246.6505538627733
80;1000;-472.72055561562513;-249.44154153873447
81;1000;-518.2082512868476;-252.71918434054072
82;1000;-443.60417108516725;-255.01900345794584
83;1000;-183.4185617548261;-254.1666172471944
84;438;238.27924128156144;-248.3731365586208
85;348;278.80214840038866;-242.24319138467885
86;210;342.77628186399846;-235.51882962319982
87;283;279.3716305505661;-229.6678016666797
88;1000;44.87304031286947;-226.58307310511177
89;578;-260.4568739626668;-226.9594486701957
90;270;328.18554902454684;-220.8589541900337
91;434;290.69638838696176;-215.2985700315881
92;233;319.6916707037484;-209.5459867978748
93;395;289.8209007843541;-204.2335731001915
94;256;303.98816144979276;-198.8838706312443
95;339;266.9629359905554;-194.03129972893387
96;1000;-443.04012802818113;-196.59840105160652
97;1000;-363.4443105856839;-198.3009103325665
98;774;100.92293704260956;-195.27844722776672
99;1000;-313.8429078473003;-196.46409183396207
100;1000;-224.89751617808554;-201.82410031077822
101;894;40.1507463560888;-195.7468885116266
102;1000;-188.23649362198208;-192.61334906108775
103;1000;-244.39865374143795;-192.56254644796562
104;1000;-495.7255918252394;-193.46951652210439
105;1000;-212.94720390302638;-190.5423295239259
106;1000;-318.5400074446213;-189.64119737656188
107;1000;-437.4831733442436;-188.8636285328121
108;1000;-443.1684228604928;-187.83969066648115
109;1000;-573.2214892553735;-189.52342046665962
110;1000;-582.5362198309509;-197.3936454391691
111;1000;-470.7656605852585;-202.46136659273103
112;1000;-138.23901508914315;-200.27215866240815
113;1000;-220.73769150109604;-199.74528914359868
114;350;221.64230840909153;-192.0881557698613
115;1000;-279.8448215871782;-190.78496236806743
116;1000;-434.2650222816431;-193.44166911098506
117;1000;-542.4233856833396;-194.8157637658346
118;1000;-552.3804528684732;-198.20357458761802
119;1000;-183.19028343142367;-197.85038710725314
120;1000;-163.74146986549454;-195.2021346593591
121;591;246.81005579739758;-193.6993926004711
122;1000;-490.277131418349;-196.37909629348005
123;1000;-456.0832482905485;-196.61926948918233
124;1000;-475.4945026587604;-197.73556512068822
125;1000;-382.705690244656;-197.63240977902151
126;1000;-276.4433907754589;-194.99864837176804
127;1000;-236.16950271877323;-195.19477840708674
128;1000;-564.8965343987246;-195.22055258527496
129;1000;-567.6653352738539;-195.80496436909064
130;449;267.09247752897005;-188.55523723198817
131;274;300.65827066732345;-186.5233742316427
132;581;282.28438560995977;-186.08641188766902
133;285;276.77401317228873;-185.9355052603006
134;298;289.78733646209605;-181.39653603764123
135;692;215.27080753556984;-177.02131779843276
136;849;123.36125113338872;-173.3373524173761
137;364;296.41112837607193;-168.62427930217444
138;1000;-338.81945874414737;-166.94040496586055
139;1000;-459.35698430478;-169.89279713095445
140;953;42.78768709308733;-171.87626807378638
141;1000;-332.67641152604983;-178.02625067211792
142;1000;-227.25936280271912;-178.58887978098977
143;1000;-526.6115137138039;-187.50047419059578
144;1000;-372.7854763270864;-194.50389512312907
145;1000;-377.02070314096585;-195.30944124776067
146;1000;-372.08819854347416;-193.78252886883706
147;1000;-527.435388423611;-194.86591850332027
148;501;250.15362123290515;-187.47270310951123
149;1000;-221.10410800605888;-186.52917586316394
150;1000;-410.3129939514153;-188.73384780318645
151;1000;-479.02366545421296;-189.38754111534755
152;1000;-514.3205096920647;-192.58151338873336
153;1000;-510.85725450585136;-194.34294831833594
154;1000;-497.42929045737566;-195.72847380827037
155;1000;-528.8085936308521;-199.1568827705057
156;129;-178.43103006445605;-198.8698108216644
157;1000;-578.0264596356766;-201.23066305531316
158;1000;-297.2643365424062;-207.0008805308779
159;1000;-266.1857375189776;-206.9011180505055
160;1000;-454.26843299754444;-208.27555939753864
161;1000;-149.49832523693462;-204.82980325357758
162;1000;-424.82630535481877;-203.41009248438723
163;1000;-448.8701659777172;-204.8921545279524
164;971;75.66596670720062;-201.771752733633
165;442;262.46036596568746;-193.6367267397085
166;823;91.61904555807955;-188.72567739725736
167;653;156.51084020841233;-189.53612641697563
168;707;104.68625166366938;-187.4206180994467
169;1000;-216.1399732315986;-187.23996411124372
170;1000;-532.6016056943636;-189.80608331577523
171;1000;-569.8059255462557;-191.3312569645358
172;1000;-556.7842337183521;-192.0348020580698
173;1000;-551.5550340362448;-193.34376445102228
174;1000;-586.6418764131112;-194.9931565159113
175;1000;-194.19412507873204;-199.98499098644413
176;1000;-163.11613787081131;-200.55616705924567
177;1000;-206.5694416675616;-200.84643560502164
178;1000;-275.2755546035194;-201.27109701901503
179;1000;-368.84030242502223;-202.41521142413256
180;1000;-562.9177632029583;-203.31718350000588
181;1000;-377.0278596597002;-201.90537958373443
182;1000;-422.9313808792946;-201.69865168167573
183;733;223.2209780467419;-197.63225628366007
184;950;138.1119750281332;-198.63392894619432
185;1000;-179.4663502905654;-203.21661393310387
186;1000;-218.98668100478125;-208.83424356179165
187;1000;-321.5691902522674;-214.84365176981999
188;1000;-376.47999987843303;-219.057182171733
189;1000;-531.0121956448521;-221.76273538855486
190;1000;-515.3032209899266;-230.19762308869957
191;1000;-580.4485988233444;-238.90907296080266
192;1000;-530.211726024069;-247.40810692808085
193;1000;-532.8010946691923;-255.6343268826163
194;1000;-466.2330818697145;-263.33653931581136
195;1000;-513.3294991879093;-271.13946366759603
196;1000;-286.1566313298654;-269.5706287006129
197;473;261.4779745313402;-263.3214058494426
198;330;286.7787058064798;-261.46284816180395
